Time,Theta_Actual,Theta_Predicted,Gamma_Actual,Gamma_Predicted
42.07,0.0543462277834431,0.07279041972672333,-0.1706197814950089,-0.1214666776078133
42.08,0.0537410988973991,0.07081584598515339,-0.1694039887981148,-0.12098213554890269
42.09,0.0532695441869136,0.06777123368588736,-0.1684495485549423,-0.12011604373796378
42.1,0.0526543048076175,0.06736116929700502,-0.1677274943754217,-0.12204761558081498
42.11,0.0520835613040956,0.06759032165091333,-0.1666452328349499,-0.12288118323758418
42.12,0.0514881538023129,0.06976291445655602,-0.1659333215598867,-0.12416765877006064
42.13,0.0511220965201081,0.07192245146848614,-0.1649841687134687,-0.12510120424518187
42.14,0.0506374365765454,0.07406357459556612,-0.1640814560753357,-0.12501526712833483
42.15,0.0502077252049506,0.07702808522805552,-0.1631058052272309,-0.127161937008411
42.16,0.0497921549477636,0.07930135858145496,-0.1622063618013275,-0.12887665297962791
42.17,0.0495636750632108,0.07830809805637348,-0.1609019847223474,-0.12393728235920996
42.18,0.0492158221860113,0.0765895531194973,-0.1598434838936576,-0.11782126168597169
42.19,0.0489585008252631,0.07508199332609583,-0.1589541284606461,-0.114101338637287
42.2,0.0486477786930112,0.07456644645848498,-0.1581820198143628,-0.113798163755185
42.21,0.0482118251333078,0.0744668234626834,-0.1573189061991521,-0.11503035475408008
42.22,0.0479604160133479,0.07458996777137311,-0.1564627709999808,-0.11620132455907758
42.23,0.0476968901185433,0.07474141059486422,-0.1553498558606237,-0.11703426216693102
42.24,0.0480026258473223,0.06849373600646042,-0.1535377971943239,-0.10217726855792675
42.25,0.0475781624710981,0.06400986684495241,-0.1522987359986121,-0.09242492602121583
42.26,0.0472888462939191,0.06101852902762236,-0.1515972750949521,-0.08630629933813871
42.27,0.0469764052063409,0.05973828903760445,-0.150667637379127,-0.08400469537837317
42.28,0.0468813329017987,0.059315316321249985,-0.1496770690288496,-0.08359241146740432
42.29,0.0466677541324058,0.06076013550266265,-0.1488792293625271,-0.08706467662138756
42.3,0.0466975609773081,0.062252645029482,-0.1477618514658006,-0.09010675163998363
42.31,0.0464842374043409,0.06409797201358486,-0.1468733628446071,-0.09486638756729815
42.32,0.0462124760557286,0.06696782370670985,-0.1458010597810362,-0.10167229992660692
42.33,0.0458789819523856,0.0708203492985088,-0.1450636096267816,-0.11053118975685795
42.34,0.0451083777283117,0.08173601178825332,-0.1448772139517203,-0.13694617665252756
42.35,0.0449858391920884,0.09222076552985439,-0.1441505426082368,-0.16057993512062782
42.36,0.0449596716071554,0.10012405751311199,-0.1433005854459356,-0.1772328328652089
42.37,0.0449369394816066,0.10393565514339229,-0.1424347319204728,-0.18422694503279005
42.38,0.0447196536171357,0.10395051467878855,-0.141458897069023,-0.18261197135037585
42.39,0.0442894191327539,0.10272351513675446,-0.1407017734874329,-0.1782443020896747
42.4,0.0441624629390907,0.09934955749107832,-0.1399309151385665,-0.16955731831431908
42.41,0.0441044118312473,0.09341200764286323,-0.1389059507213839,-0.15704378314693052
42.42,0.0440366238687853,0.08732038127170111,-0.1383615122762874,-0.14449530887477569
42.43,0.0438952115977155,0.08086912285582384,-0.1375937432234516,-0.13060113506061374
42.44,0.0442388530156421,0.07234078315801984,-0.136501302297086,-0.11057931981792632
42.45,0.0440902272022444,0.06629822252369319,-0.1357752109463154,-0.09488532963900476
